name,institution,attemptsForA,timeForA,attemptsForB,timeForB,attemptsForC,timeForC,attemptsForD,timeForD,attemptsForE,timeForE,attemptsForF,timeForF,attemptsForG,timeForG,attemptsForH,timeForH,attemptsForI,timeForI,attemptsForJ,timeForJ,attemptsForK,timeForK,attemptsForL,timeForL
IUT_CocolaChampionBiscuit,ISLAMIC UNIVERSITY OF TECHNOLOGY,0,,0,,1,112,4,264,2,204,0,,3,24,0,,1,15,1,85,0,,0,
IUT_Eternatus,ISLAMIC UNIVERSITY OF TECHNOLOGY,0,,0,,0,,3,,0,,0,,1,8,0,,2,31,3,100,0,,0,
IUT_Oikotaan,ISLAMIC UNIVERSITY OF TECHNOLOGY,0,,0,,0,,7,,0,,0,,2,32,0,,1,28,1,142,0,,0,
IUT_cgpa_matters,ISLAMIC UNIVERSITY OF TECHNOLOGY,0,,5,,1,,2,,0,,0,,2,31,0,,1,7,1,101,0,,0,
IUT_notBlue,ISLAMIC UNIVERSITY OF TECHNOLOGY,0,,0,,1,,0,,0,,0,,3,40,0,,1,29,3,228,0,,0,
IU_NULL_VOID,"ISLAMIC UNIVERSITY, BANGLADESH",0,,0,,0,,0,,0,,0,,2,58,0,,1,12,8,298,0,,0,
IU_Waving_Flag,"ISLAMIC UNIVERSITY, BANGLADESH",0,,0,,2,,2,225,0,,0,,3,34,0,,1,28,4,104,0,,0,
Infinite_Tsukuyomi,CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,0,,0,,0,,4,152,6,,0,,2,60,0,,1,30,2,200,0,,0,
Ingenious_Wizards,BANGLADESH UNIVERSITY OF PROFESSIONALS,0,,0,,0,,0,,0,,0,,5,209,0,,1,52,3,291,0,,0,
Introverts,KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,0,,0,,0,,0,,5,85,0,,1,38,3,,0,,0,
JUST_FLARE,JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,1,,4,,2,152,0,,0,,4,29,0,,3,18,2,76,0,,0,
JUST_Null_Pointers,JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,1,,0,,0,,1,29,0,,1,21,3,191,0,,0,
JUST_Triple_Helix,JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,3,,0,,0,,2,40,0,,1,22,2,143,0,,0,
JU_Beauty&Bits,JAHANGIRNAGAR UNIVERSITY,0,,0,,0,,0,,0,,0,,3,,0,,2,,0,,0,,0,
JU_BinaryMosFet,JAHANGIRNAGAR UNIVERSITY,0,,0,,9,,1,138,0,,0,,5,50,0,,1,15,1,109,0,,0,
JU_Kaizen,JAHANGIRNAGAR UNIVERSITY,0,,0,,0,,3,,0,,0,,11,,0,,2,26,1,207,0,,0,
JU_OneMoreZer0,JAHANGIRNAGAR UNIVERSITY,0,,0,,3,,0,,0,,0,,2,17,0,,1,34,1,86,0,,0,
JU_WeKilledJohnWick'sDog,JAHANGIRNAGAR UNIVERSITY,0,,0,,3,,2,,0,,0,,2,30,0,,2,49,1,92,0,,0,
JU_oyster,JAHANGIRNAGAR UNIVERSITY,0,,0,,0,,0,,0,,0,,5,90,0,,4,144,2,233,0,,0,
JU_the0dd1out,JAHANGIRNAGAR UNIVERSITY,0,,0,,3,214,4,161,4,,0,,4,63,0,,1,29,1,119,0,,0,
Ju_LastGame,JAHANGIRNAGAR UNIVERSITY,0,,0,,0,,9,,0,,0,,9,,0,,1,38,2,182,0,,0,
KUET_Helicopter,KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,2,,2,,0,,0,,1,13,0,,2,32,1,88,0,,0,
KUET_JINISH,KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,0,,4,277,0,,0,,2,22,0,,1,27,2,130,0,,0,
KUET_TheFamily,KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,0,,3,219,0,,0,,2,25,0,,1,7,8,295,0,,0,
KU_ErrorMakers,KHULNA UNIVERSITY,0,,0,,7,,1,88,0,,0,,3,61,0,,1,15,1,149,0,,0,
KU_Second_Team,KHULNA UNIVERSITY,0,,0,,2,,0,,0,,0,,4,31,0,,2,24,2,126,0,,0,
Kuet_Sparta,KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,0,,6,,0,,0,,2,27,0,,1,25,2,135,0,,0,
Kuet_Zoobidoobi,KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,0,,0,,0,,0,,0,,0,,5,236,0,,4,202,1,,0,,0,
LUNE_NOIRE,CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,0,,0,,0,,1,,0,,0,,4,161,0,,1,21,1,126,0,,0,
LU_Furious,"LEADING UNIVERSITY, SYLHET",0,,0,,0,,4,,0,,0,,1,18,0,,1,39,0,,0,,0,
LU_dAREdevils,"LEADING UNIVERSITY, SYLHET",0,,0,,0,,2,,0,,0,,4,102,0,,1,23,1,148,0,,0,
Lazy_Programmer,MAWLANA BHASHANI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,0,,0,,2,,0,,0,,3,119,0,,2,21,0,,0,,0,
MANATRI_CCNUST,CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,6,,0,,1,57,0,,0,,0,
MBSTU_Novatos,MAWLANA BHASHANI SCIENCE AND TECHNOLOGY UNIVERSITY,0,,4,139,3,,4,293,0,,0,,6,,0,,1,22,1,234,0,,0,
MEC_Algo_Scholars,MYMENSINGH ENGINEERING COLLEGE,0,,0,,0,,0,,0,,0,,4,,0,,1,51,3,,0,,0,
MEC_Newbies,MYMENSINGH ENGINEERING COLLEGE,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,
MIST_ChemistryHaters,MILITARY INSTITUTE OF SCIENCE AND TECHNOLOGY,0,,0,,0,,1,,0,,0,,4,109,0,,2,48,1,195,0,,0,
MIST_CodeCrafters,MILITARY INSTITUTE OF SCIENCE AND TECHNOLOGY,0,,0,,0,,0,,0,,0,,5,133,0,,2,121,2,,0,,0,
MIST_FrostByte_2.0,MILITARY INSTITUTE OF SCIENCE AND TECHNOLOGY,0,,0,,0,,1,285,0,,0,,4,53,0,,2,30,2,214,0,,0,
MIST_ShopnoFeri,MILITARY INSTITUTE OF SCIENCE AND TECHNOLOGY,0,,0,,5,,4,,0,,0,,1,29,0,,2,44,2,86,0,,0,
MIST_YaminIsAlive,MILITARY INSTITUTE OF SCIENCE AND TECHNOLOGY,0,,0,,0,,6,,0,,0,,4,70,0,,2,51,2,193,0,,0,
MIU_Debug_Overflow,MANARAT INTERNATIONAL UNIVERSITY,0,,0,,0,,0,,0,,0,,5,,0,,5,,0,,0,,0,
MU_Audacity,METROPOLITAN UNIVERSITY,0,,0,,0,,0,,0,,0,,10,191,0,,2,45,2,110,0,,0,
MU_mission_nxt_icpc,METROPOLITAN UNIVERSITY,0,,0,,0,,0,,0,,0,,8,221,0,,1,32,2,206,0,,0,
